ACTA2	ENST00000224784
ACTC1	ENST00000290378
ACVRL1	ENST00000388922
AKAP9	ENST00000356239
ALPL	ENST00000374840
ANK2	ENST00000357077
ANKRD1	ENST00000371697
APC	ENST00000457016, ENST00000507379
AR	ENST00000374690
ARSA	ENST00000547307, ENST00000216124
ARX	ENST00000379044
ATAD1	ENST00000308448
ATM	ENST00000278616
ATP13A2	ENST00000326735
BARD1	ENST00000260947
BCL11B	ENST00000357195
BRAF	ENST00000288602
BRCA1	ENST00000357654
BRCA2	ENST00000544455
BRIP1	ENST00000259008
CACNA1C	ENST00000399655
CALM1	ENST00000356978
CASQ2	ENST00000261448
CAV3	ENST00000343849
CDH1	ENST00000261769
CEP290	ENST00000552810
CFTR	ENST00000003084
CHEK2	ENST00000328354
COL1A1	ENST00000225964
COL1A2	ENST00000297268
COL3A1	ENST00000304636
COL4A2	ENST00000360467
COL5A1	ENST00000371817
COL5A2	ENST00000374866
COQ8A	ENST00000366777
COX15	ENST00000370483
CSRP3	ENST00000533783
DARS2	ENST00000361951
DLG4	ENST00000399510
DMD	ENST00000357033
DPYD	ENST00000370192
DSC2	ENST00000280904
DSG2	ENST00000261590
DSP	ENST00000379802, ENST00000418664
DTNA	ENST00000444659
EFTUD2	ENST00000426333
ERF	ENST00000222329
ESCO2	ENST00000305188
FBN1	ENST00000316623
FBN2	ENST00000262464
FBXO11	ENST00000403359
FHL1	ENST00000370690
FOXRED1	ENST00000263578
GALC	ENST00000261304, ENST00000393569
GBA	ENST00000368373
GLB1	ENST00000307363
GMPPB	ENST00000308375, ENST00000308388
GNAL	ENST00000334049
GUCA1A	ENST00000053469
HCN4	ENST00000261917
HFE	ENST00000357618
HUWE1	ENST00000342160
IFIH1	ENST00000263642
JAK2	ENST00000381652
JUP	ENST00000393931
KAT6A	ENST00000265713
KCNE1	ENST00000399286
KCNE2	ENST00000290310
KCNH2	ENST00000262186
KCNJ2	ENST00000243457
KCNJ5	ENST00000529694
KCNQ1	ENST00000155840, ENST00000335475
KLHL3	ENST00000309755
KMT2B	ENST00000420124
KRAS	ENST00000311936
LDB3	ENST00000361373
LDLR	ENST00000558518
LIPA	ENST00000336233
LMNA	ENST00000368300
MIB1	ENST00000261537
MLH1	ENST00000231790
MSH2	ENST00000233146
MSH6	ENST00000234420
MUTYH	ENST00000450313
MYBPC3	ENST00000545968
MYH11	ENST00000300036
MYH6	ENST00000405093
MYH7	ENST00000355349
MYL2	ENST00000228841
MYL3	ENST00000292327
MYLK	ENST00000360304
MYPN	ENST00000358913
NF1	ENST00000356175
NOTCH2	ENST00000256646
NPC1	ENST00000269228
NPC2	ENST00000555619
PALB2	ENST00000261584
PCSK9	ENST00000302118
PKD1	ENST00000262304
PKP2	ENST00000070846
PMS2	ENST00000265849
POMGNT1	ENST00000371984
PPP1CB	ENST00000395366
PRDM16	ENST00000441472
PRKAG2	ENST00000287878
PRKG1	ENST00000373980
PRSS1	ENST00000311737
PRUNE1	ENST00000271620
PSAP	ENST00000394936
PTEN	ENST00000371953
PTPN11	ENST00000351677
RAD51C	ENST00000337432
RAD51D	ENST00000345365, ENST00000394589
RAF1	ENST00000251849
RANGRF	ENST00000226105
RIT1	ENST00000368323
RTTN	ENST00000255674
RYR1	ENST00000359596
RYR2	ENST00000366574
SCN2A	ENST00000283256
SCN4B	ENST00000324727
SCN5A	ENST00000333535
SELENON	ENST00000361547
SETX	ENST00000224140
SHANK3	ENST00000262795
SMAD3	ENST00000327367
SMAD4	ENST00000342988
SMPD1	ENST00000342245
SNTA1	ENST00000217381
SON	ENST00000356577, ENST00000300278
SOS1	ENST00000402219
SPG11	ENST00000261866
SQSTM1	ENST00000389805
STK11	ENST00000326873
STXBP1	ENST00000373302
SYNGAP1	ENST00000418600
TAZ	ENST00000299328
TBX5	ENST00000310346
TCF20	ENST00000359486
TGFB2	ENST00000366930
TGFB3	ENST00000238682
TGFBR1	ENST00000374994
TGFBR2	ENST00000295754
TKT	ENST00000423525
TMEM43	ENST00000306077
TNNC1	ENST00000232975
TNNI3	ENST00000344887
TNNT2	ENST00000367318
TOR1A	ENST00000351698
TP53	ENST00000269305, ENST00000359597
TPM1	ENST00000403994
TRDN	ENST00000334268
TTN	ENST00000589042, ENST00000342992, ENST00000615779, ENST00000460472
UGT1A1	ENST00000305208
VCL	ENST00000211998
WT1	ENST00000332351
